class,pred_human,pred_background,total,human_acc,background_error
motorcycling,0,3,16,0.0,0.1875
clean and jerk,0,14,75,0.0,0.1866666666666666
playing chess,0,13,70,0.0,0.1857142857142857
frying vegetables,0,5,27,0.0,0.1851851851851851
baking cookies,0,5,27,0.0,0.1851851851851851
arranging flowers,0,17,92,0.0,0.1847826086956521
playing saxophone,4,19,103,0.0388349514563106,0.1844660194174757
playing violin,8,20,109,0.073394495412844,0.1834862385321101
news anchoring,4,11,60,0.0666666666666666,0.1833333333333333
sweeping floor,0,13,71,0.0,0.1830985915492957
snowboarding,0,2,11,0.0,0.1818181818181818
training dog,0,6,33,0.0,0.1818181818181818
playing didgeridoo,5,16,88,0.0568181818181818,0.1818181818181818
kicking soccer ball,0,8,44,0.0,0.1818181818181818
dancing gangnam style,3,16,89,0.0337078651685393,0.1797752808988764
catching or throwing frisbee,0,7,39,0.0,0.1794871794871795
shining shoes,1,7,39,0.0256410256410256,0.1794871794871795
ice fishing,0,10,56,0.0,0.1785714285714285
assembling computer,2,11,62,0.032258064516129,0.1774193548387097
golf chipping,12,14,79,0.1518987341772152,0.1772151898734177
exercising arm,2,17,96,0.0208333333333333,0.1770833333333333
cooking egg,0,6,34,0.0,0.1764705882352941
massaging feet,7,6,34,0.2058823529411764,0.1764705882352941
playing basketball,3,9,51,0.0588235294117647,0.1764705882352941
petting animal (not cat),0,12,68,0.0,0.1764705882352941
playing accordion,1,21,119,0.0084033613445378,0.1764705882352941
climbing tree,0,6,34,0.0,0.1764705882352941
riding mechanical bull,7,12,68,0.1029411764705882,0.1764705882352941
squat,0,20,114,0.0,0.175438596491228
playing harp,1,18,103,0.0097087378640776,0.174757281553398
ironing,0,11,63,0.0,0.1746031746031746
sanding floor,0,4,23,0.0,0.1739130434782608
washing hands,0,9,52,0.0,0.173076923076923
headbutting,1,9,52,0.0192307692307692,0.173076923076923
strumming guitar,2,19,110,0.0181818181818181,0.1727272727272727
baby waking up,4,5,29,0.1379310344827586,0.1724137931034483
faceplanting,1,5,29,0.0344827586206896,0.1724137931034483
playing clarinet,1,22,128,0.0078125,0.171875
playing poker,1,11,64,0.015625,0.171875
applauding,0,6,35,0.0,0.1714285714285714
tying knot (not on a tie),0,6,35,0.0,0.1714285714285714
tapping pen,0,13,76,0.0,0.1710526315789473
passing American football (not in game),1,7,41,0.024390243902439,0.1707317073170731
dying hair,2,7,41,0.048780487804878,0.1707317073170731
yoga,10,15,88,0.1136363636363636,0.1704545454545454
drop kicking,0,9,53,0.0,0.1698113207547169
shoveling snow,0,9,53,0.0,0.1698113207547169
